@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureMaxDepth numeric
@attribute measureOutOfBagError numeric

@data

'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',1,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,629,69,56,13,0,81.15942,18.84058,0,0.783071,0.049257,0.215702,22.653552,65.433094,204.706324,121.989671,82.716653,2.966758,1.767966,1.198792,162.137583,2.34982,5456.739674,0.666667,6,0.033333,2,0.966667,58,0.333333,3,0.75,0.666667,0.705882,0.816667,0.811594,0.02901,0.97099,0.188406,0.824741,0.811594,0.802386,0.891292,0,0.024,0,0.0156,335828,332142,42622,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',2,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,55,15,0,78.571429,21.428571,0,0.753695,0.055649,0.230032,25.579474,69.738187,208.125653,140.571415,67.554238,2.973224,2.008163,0.965061,159.640752,2.280582,5373.982524,0.875,7,0.032258,2,0.967742,60,0.125,1,0.777778,0.875,0.823529,0.921371,0.785714,0.032082,0.967918,0.214286,0.80619,0.785714,0.778927,0.876816,0.004,0.03,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',2,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,59,11,0,84.285714,15.714286,0,0.819334,0.041543,0.197,19.095555,59.723767,208.125653,103.383751,104.741902,2.973224,1.476911,1.496313,171.469899,2.44957,5772.186792,0.875,7,0.016129,1,0.983871,61,0.125,1,0.875,0.875,0.875,0.929435,0.842857,0.02283,0.97717,0.157143,0.851832,0.842857,0.842071,0.910014,0.001,0.028,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',2,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,58,12,0,82.857143,17.142857,0,0.80212,0.04507,0.205756,20.725629,62.409035,207.724437,112.680667,95.04377,2.967492,1.609724,1.357768,167.880466,2.398292,5650.160116,0.777778,7,0,0,1,61,0.222222,2,1,0.777778,0.875,0.888889,0.828571,0.027849,0.972151,0.171429,0.848728,0.828571,0.828702,0.900361,0.001,0.024,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',2,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,51,19,0,72.857143,27.142857,0,0.686911,0.069755,0.258884,32.077469,78.523734,207.724437,177.75908,29.965357,2.967492,2.539415,0.428077,145.338048,2.076258,4891.475851,0.777778,7,0.04918,3,0.95082,58,0.222222,2,0.7,0.777778,0.736842,0.864299,0.728571,0.041701,0.958299,0.271429,0.754521,0.728571,0.72164,0.843435,0.001,0.026,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',2,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,56,14,0,80,20,0,0.769412,0.052123,0.222235,23.974584,67.42528,207.569145,131.274499,76.294646,2.965274,1.87535,1.089924,161.260527,2.303722,5426.880159,0.888889,8,0.032787,2,0.967213,59,0.111111,1,0.8,0.888889,0.842105,0.928051,0.8,0.02829,0.97171,0.2,0.793759,0.8,0.794965,0.885855,0.001,0.025,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',2,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,52,18,0,74.285714,25.714286,0,0.705263,0.066229,0.251981,30.444771,76.399057,208.000563,168.462164,39.538398,2.971437,2.406602,0.564834,151.041563,2.157737,5084.144524,0.777778,7,0.04918,3,0.95082,58,0.222222,2,0.7,0.777778,0.736842,0.864299,0.742857,0.036745,0.963255,0.257143,0.791007,0.742857,0.745596,0.853056,0.001,0.024,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',2,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,62,8,0,88.571429,11.428571,0,0.868483,0.030964,0.168016,14.237393,50.956127,207.80828,75.493002,132.315278,2.96869,1.078471,1.890218,181.407845,2.591541,6105.679389,0.888889,8,0,0,1,61,0.111111,1,1,0.888889,0.941176,0.944444,0.885714,0.01776,0.98224,0.114286,0.892151,0.885714,0.886045,0.933977,0.001,0.024,0,0.0312,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',2,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,628,70,55,15,0,78.571429,21.428571,0,0.752941,0.055649,0.230032,25.579474,69.738187,208.125653,140.571415,67.554238,2.973224,2.008163,0.965061,158.317946,2.261685,5329.452911,0.555556,5,0.016393,1,0.983607,60,0.444444,4,0.833333,0.555556,0.666667,0.769581,0.785714,0.033909,0.966091,0.214286,0.803061,0.785714,0.782516,0.875902,0.001,0.024,0.0156,0.0156,335311,331625,43139,?,?,?,?,?
'C:UsersBenDocumentsTU WienISMI_output_withoutLabelsISMI.rh.arff',2,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110508.1515,629,69,53,16,0,76.811594,23.188406,0,0.733526,0.05999,0.239291,27.577461,72.5528,205.10754,149.887295,55.220245,2.972573,2.17228,0.800293,153.378336,2.222874,5163.037873,0.75,6,0.081967,5,0.918033,56,0.25,2,0.545455,0.75,0.631579,0.834016,0.768116,0.033829,0.966171,0.231884,0.778781,0.768116,0.756469,0.867144,0.001,0.024,0,0.0156,335828,332142,42622,?,?,?,?,?
