@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureMaxDepth numeric
@attribute measureOutOfBagError numeric

@data

'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',1,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,34,66,0,34,66,0,0.266667,0.132519,0.361346,73.621517,120.448737,332.192809,650.234145,-318.041335,3.321928,6.502341,-3.180413,102.536862,1.025369,3086.667102,0.5,5,0.055556,5,0.944444,85,0.5,5,0.5,0.5,0.5,0.727778,0.34,0.073333,0.926667,0.66,0.354167,0.34,0.335258,0.635167,0.001,0.045,0.0156,0.0312,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',2,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,29,71,0,29,71,0,0.211111,0.142408,0.374767,79.115415,124.922353,332.192809,698.31901,-366.126201,3.321928,6.98319,-3.661262,85.247623,0.852476,2566.209162,0.3,3,0.088889,8,0.911111,82,0.7,7,0.272727,0.3,0.285714,0.609444,0.29,0.078889,0.921111,0.71,0.292403,0.29,0.284378,0.609556,0.001,0.044,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',2,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,37,63,0,37,63,0,0.3,0.126584,0.353024,70.324206,117.674774,332.192809,619.795944,-287.603134,3.321928,6.197959,-2.876031,112.911667,1.129117,3398.979866,0.4,4,0.055556,5,0.944444,85,0.6,6,0.444444,0.4,0.421053,0.675556,0.37,0.07,0.93,0.63,0.371483,0.37,0.367356,0.6535,0.001,0.043,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',2,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,43,57,0,43,57,0,0.366667,0.114718,0.335827,63.732014,111.942313,332.192809,562.887746,-230.694937,3.321928,5.628877,-2.306949,133.658122,1.336581,4023.510394,0.4,4,0.055556,5,0.944444,85,0.6,6,0.444444,0.4,0.421053,0.631667,0.43,0.063333,0.936667,0.57,0.486999,0.43,0.437224,0.682222,0.001,0.047,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',2,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,44,56,0,44,56,0,0.377778,0.111744,0.330608,62.080019,110.202793,332.192809,542.264929,-210.072119,3.321928,5.422649,-2.100721,139.58366,1.395837,4201.886852,0.4,4,0.033333,3,0.966667,87,0.6,6,0.571429,0.4,0.470588,0.69,0.44,0.062222,0.937778,0.56,0.444963,0.44,0.431498,0.699722,0,0.04,0,0.0312,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',2,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,40,60,0,40,60,0,0.333333,0.120662,0.344549,67.034181,114.849603,332.192809,592.341044,-260.148235,3.321928,5.92341,-2.601482,123.276958,1.23277,3711.006206,0.5,5,0.055556,5,0.944444,85,0.5,5,0.5,0.5,0.5,0.722222,0.4,0.066667,0.933333,0.6,0.391876,0.4,0.394345,0.662222,0,0.045,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',2,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,43,57,0,43,57,0,0.366667,0.114706,0.335795,63.725335,111.931506,332.192809,560.896496,-228.703686,3.321928,5.608965,-2.287037,133.666848,1.336668,4023.773068,0.4,4,0.066667,6,0.933333,84,0.6,6,0.4,0.4,0.4,0.673333,0.43,0.063333,0.936667,0.57,0.421273,0.43,0.419085,0.690167,0,0.042,0,0.0312,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',2,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,42,58,0,42,58,0,0.355556,0.116704,0.338743,64.835772,112.914417,332.192809,571.718226,-239.525417,3.321928,5.717182,-2.395254,130.193758,1.301938,3919.222632,0.4,4,0.066667,6,0.933333,84,0.6,6,0.4,0.4,0.4,0.67,0.42,0.064444,0.935556,0.58,0.473315,0.42,0.426469,0.675111,0,0.042,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',2,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,35,65,0,35,65,0,0.277778,0.131518,0.359325,73.065388,119.775057,332.192809,643.387767,-311.194958,3.321928,6.433878,-3.11195,105.008386,1.050084,3161.067395,0.3,3,0.1,9,0.9,81,0.7,7,0.25,0.3,0.272727,0.618889,0.35,0.072222,0.927778,0.65,0.398501,0.35,0.356223,0.642944,0,0.042,0,0.0312,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',2,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,37,63,0,37,63,0,0.3,0.126593,0.353024,70.32967,117.674812,332.192809,619.803092,-287.610282,3.321928,6.198031,-2.876103,112.904519,1.129045,3398.764692,0.7,7,0.044444,4,0.955556,86,0.3,3,0.636364,0.7,0.666667,0.827778,0.37,0.07,0.93,0.63,0.347381,0.37,0.356476,0.65,0,0.04,0,0.0468,475985,472283,58683,?,?,?,?,?
